namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
"АКБ ""Трансстройбанк"" (АО)",RU,45,115093,г,Москва,"ул. Дубининская, д.94",1994-06-15,20,5,1,4525326000,PSAC,2807,,"Joint Stock Commercial Bank ""Transstroibank"" (Joint Stock Company) (""Transstroibank"")"
"ООО ""КЭБ ЭйчЭнБи Банк""",RU,45,123112,г,Москва,"ул. Тестовская, д. 10",2014-07-17,20,5,1,4525808000,PSAC,3525,,KEB HNB RUS LLC
"КУ ООО КБ ""ИНСТРОЙБАНК"" ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2013-12-05,90,1,0,4525690000,PSAC,2743,,
"ООО НКО ""ПэйПал РУ""",RU,45,125047,г,Москва,"ул. Бутырский Вал, д. 10",2013-06-13,20,3,0,4525303000,PSAC,3517-К,,
"КУ ООО КБ ""ПЕРВЫЙ ДЕПОЗИТНЫЙ"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2014-12-19,90,1,0,4525737000,PSAC,1244,,
"КУ ООО КБ ""Нэклис-Банк"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525679000,PSAC,1671,,
"КУ АО КБ ""ИНТЕРПРОМБАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1995-09-22,90,1,0,4525126000,PSAC,3266,,
"Ликвидатор ПАО АРКБ ""Росбизнесбанк""-ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",1994-01-20,90,1,0,4525676000,PSAC,1405,,
"КУ АО ""ТРОЙКА-Д БАНК"" - ГК ""АСВ""",RU,45,109240,г,Москва,"ул. Высоцкого, д. 4",2003-03-20,90,1,0,4525320000,PSAC,3431,,
"КУ ООО КБ ""ЭЛ БАНК"" - ГК ""АСВ""",RU,36,445037,г,Тольятти,"Новый пр-д, 8",2016-08-12,90,1,0,3678859000,PSAC,1025,,
"КУ АО ""ФИА-БАНК"" - ГК ""АСВ""",RU,36,445037,г,Тольятти,"Новый пр-д, 8",2016-07-15,90,1,0,3678929000,PSAC,2542,,
"ПАО КБ ""РусьРегионБанк""",RU,45,108814,г,Москва,"поселение Сосенское, Калужское шоссе, 24-й км, домовл. 1, стр. 1, 9 этаж",1994-01-20,20,3,1,4525412000,PSAC,685,,CB 'RUSREGIONBANK' JSC.
Избирательная комиссия Ивановской области,RU,24,153000,г,Иваново,"ул Пушкина, 9",2000-01-01,99,3,1,2406001002,PSAC,,,
"КУ КБ ""ГАГАРИНСКИЙ"" (АО) - ГК ""АСВ""",RU,45,109240,г,Москва,"ул Высоцкого, 4",2015-11-26,90,1,0,4525429000,PSAC,606,,
Избирательная комиссия Республики Ингушетия,RU,26,386102,г,Назрань,"ул. Московская, 37",2000-01-01,99,3,1,2618001002,PSAC,,,
"ДАЛЬНЕВОСТОЧНЫЙ ФИЛИАЛ ПАО КБ ""ВОСТОЧНЫЙ""",RU,08,680007,г,Хабаровск,"ул Шевчука, 23",2004-03-12,30,3,1,0813886000,PSAC,1460/4,041012718,
Крайизбирком,RU,08,680000,г,Хабаровск,"ул. Муравьева-Амурского, д. 19, офис 103",2001-02-15,99,3,1,0813001092,PSAC,,,
Центральная избирательная комиссия Республики Башкортостан,RU,80,450008,г,Уфа,"ул Заки Валиди, 46",2000-01-01,99,1,1,8073001406,PSAC,,,
избирательная комиссия Ставропольского края,RU,07,355025,г,Ставрополь,"пл Ленина, 1",1997-02-20,99,3,1,0702001001,PSAC,,,
Облизбирком,RU,14,308005,г,Белгород,"Соборная пл, 4",1993-12-30,99,1,1,1403001231,PSAC,,,
НОВОСИБИРСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА,RU,50,630099,г,Новосибирск,"ул Максима Горького, 53",2007-07-05,30,3,1,5004818000,PSAC,1/10,044525545,
"ПАО АКБ ""Приморье""",RU,05,690091,г,Владивосток,"ул Светланская, 47",1994-08-12,20,5,1,0507795000,PSAC,3001,,"public joint-stock commercial bank ""Primorye""; PJSCB ""Primorye"""
