namep,cntrcd,rgn,ind,tnp,nnp,adr,datein,pttype,srvcs,xchtype,uid,participantstatus,regn,prntbic,englname
УФК по Астраханской области,RU,12,414056,г,Астрахань,"ул Латышева, 6 Г",2010-06-08,52,3,1,1280002005,PSAC,,,
"УРАЛЬСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""",RU,65,620075,г,Екатеринбург,"ул Красноармейская, 10",2005-03-03,30,3,1,6577906000,PSAC,3292/2,044525700,
"ФИЛИАЛ ""БАНКА ЗАРЕЧЬЕ"" (АО) В Г. ОРЛЕ",RU,54,302020,г,Орёл,"Наугорское ш, 8А лит А",2012-04-19,30,3,1,5402704000,PSAC,817/13,049205772,
"БАЙКОНУРСКИЙ ФИЛИАЛ АБ ""РОССИЯ""",RU,00,468320,г,Байконур,"ул Советской Армии, 11",2015-02-24,30,3,1,0037471000,PSAC,328/22,044030861,
РКЦ НОВОРОССИЙСК,,03,353900,г,Новороссийск,"ул Советов, 47",1994-01-20,10,3,1,0395000000,PSAC,,040349001,
РКЦ СОЧИ,,03,354000,г,Сочи,"ул Орджоникидзе, 2",1994-01-20,10,3,1,0396000000,PSAC,,040349001,
ПУ БАНКА РОССИИ N 43192,,00,043192,,, П/П 43192,2008-11-07,40,3,1,0001002000,PSAC,,044525000,
ПУ БАНКА РОССИИ N 43197,,00,043197,,, П/П 43197,2008-11-07,40,3,1,0002002000,PSAC,,044525000,
РКЦ ЛЕНСК,,98,678144,г,Ленск,"ул Ленина, 70",1994-01-20,10,3,1,9820000000,PSAC,,049805001,
ПУ БАНКА РОССИИ МАТВЕЕВСКОЕ,,82,368302,г,Каспийск,,2004-05-11,40,3,1,8270002000,PSAC,,040349001,
РКЦ СОВЕТСКАЯ ГАВАНЬ,,08,682800,г,Советская Гавань,"ул Советская, 26",1994-01-20,10,3,1,0816000000,PSAC,,040813001,
Избирательная комиссия Брянской области,RU,15,241050,г,Брянск,"пр-т Ленина, 33",1995-08-11,99,1,0,1501001002,PSAC,,,
УФК по Чеченской Республике,RU,96,364020,г,Грозный,"ул Дэги Имрановича Багаева, 15",2011-06-29,52,3,1,9626002001,PSAC,,,
УФК по Нижегородской области,RU,22,603082,г,Нижний Новгород,"Кремль, к 1 а",2010-12-24,52,3,1,2299002001,PSAC,,,
УФК по Архангельской области и Ненецкому автономному округу,RU,11,163000,г,Архангельск,"ул Карла Либкнехта, 2",2011-03-09,52,3,1,1122002001,PSAC,,,
УФК по Астраханской области,RU,12,414056,г,Астрахань,"ул Латышева, 6 Г",2010-12-31,52,3,1,1236002001,PSAC,,,
МРХ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ,,40,195253,г,Санкт-Петербург,"пр-т Энергетиков, 45",2002-09-06,10,3,1,4083000000,PSAC,,044030001,
Избирательная комиссия Приморского края,RU,05,690110,г,Владивосток,"ул Светланская, 22",1995-06-27,99,1,0,0507001001,PSAC,,,
"КУЗБАССКИЙ ФИЛИАЛ АО ""УГЛЕМЕТБАНК""",RU,32,650991,г,Кемерово,"ул Красноармейская, 136",2005-09-22,30,3,1,3207707000,PSAC,2997/6,047501787,
"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.ЯРОСЛАВЛЬ",RU,78,150014,г,Ярославль,"Которосльная наб, 55",2006-06-08,30,3,1,7888710000,PSAC,1885/2,044525341,
"""БСТ-БАНК"" АО",RU,32,654041,г,Новокузнецк,"ул Кутузова, 31",1994-07-29,20,3,1,3209706000,PSAC,2883,,
НАЦИОНАЛЬНЫЙ БАНК РЕСПУБЛИКИ АБХАЗИЯ,AB,03,384900,г,Сухум,"пр-т Леона, 14",2012-03-23,20,1,1,0396055000,PSAC,,,
"СИМФЕРОПОЛЬСКИЙ ФИЛИАЛ АБ ""РОССИЯ""",RU,35,295000,г,Симферополь,"пр-т Кирова, 36",2014-06-16,30,3,1,3510107000,PSAC,328/21,044030861,
"ЕКАТЕРИНБУРГСКИЙ ФИЛИАЛ БАНКА ""ВЯТИЧ"" (ПАО)",RU,65,620014,г,Екатеринбург,"Банковский пер, 9 А",1997-03-25,30,3,1,6577409000,PSAC,2796/1,046126701,
УФК по Амурской области,RU,10,675000,г,Благовещенск,"ул Ленина, 108",2010-12-28,52,3,1,1081002002,PSAC,,,
КЦ СЕВЕРО-ЗАПАДНОГО ГУ БАНКА РОССИИ,,40,196158,г,Санкт-Петербург,"Московское ш, 27",1999-12-17,10,3,1,4012000000,PSAC,,044030001,
РКЦ ВЕЛИКИЕ ЛУКИ,,58,182110,г,Великие Луки,"пр-т Ленина, 47",1994-01-20,10,3,1,5853000000,PSAC,,045805001,
РКЦ НИЖНЕКАМСК,,92,423581,г,Нижнекамск,"ул Баки Урманче, 8",1994-01-20,10,3,1,9246000000,PSAC,,049205001,
ПУ БАНКА РОССИИ ГЕОРГИЕВСКОЕ,,07,356806,г,Будённовск,мкр Северный,1998-08-21,40,3,1,0703002000,PSAC,,040349001,
ПУ БАНКА РОССИИ ЗАВОДСКОЕ,,28,171090,п,Озёрный,,1994-01-20,40,3,1,2880002000,PSAC,,044525000,
УФК по Хабаровскому краю,RU,08,680000,г,Хабаровск,"ул Дзержинского, 41",2011-03-03,52,3,1,0816000041,PSAC,,,
"НИЖЕГОРОДСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""",RU,22,603005,г,Нижний Новгород,"ул Минина, 16 А",2009-04-09,30,3,1,2202886000,PSAC,2440/5,044525176,
"ФИЛИАЛ N8 ПАО КБ ""ЦЕНТР-ИНВЕСТ""",RU,03,350000,г,Краснодар,"ул. Октябрьская, 183/ ул. Северная, 326",2003-08-14,30,3,1,0349550000,PSAC,2225/8,046015762,
"ФИЛИАЛ В Г.АСТРАХАНИ АО ""МБ БАНК""",RU,12,414000,г,Астрахань,"пл Ленина, 6 А, стр лит А",2011-06-02,30,3,1,1203712000,PSAC,3396/1,044525184,
"ФИЛИАЛ АО АКБ ""НОВИКОМБАНК"" В Г.С-ПЕТЕРБУРГЕ",RU,40,190000,г,Санкт-Петербург,"Конногвардейский б-р, 3 лит А",2011-05-06,30,3,1,4030902000,PSAC,2546/5,044525162,
"ФКУ "" Войсковая часть 10199 """,RU,29,248016,г,Калуга,"ул М.Горького, 60",2000-01-01,99,1,0,2908001005,PSAC,,,
Избирательная комиссия Челябинской области,RU,75,454009,г,Челябинск,"ул Кирова, 114",1995-09-04,99,1,0,7501001001,PSAC,,,
"АО КБ ""ВАКОБАНК""",RU,58,182110,г,Великие Луки,"ул Карла Либкнехта, 15",1994-01-20,20,3,1,5853774000,PSAC,1291,,
"Урюпинский филиал ПАО КБ ""Сельмашбанк""",RU,18,403112,г,Урюпинск,"ул. Штеменко, 47/3",2018-09-26,30,3,1,1806745000,PSAC,106/8,046015860,
"ФИЛИАЛ ""КУРГАНСКИЙ"" АО АКБ ""АЛЕФ-БАНК""",RU,37,640028,г,Курган,"ул Химмашевская, 16",2002-11-21,30,3,1,3735853000,PSAC,2119/1,044525268,
Избирательная комиссия Ярославской области,RU,78,150000,г,Ярославль,"ул Советская, 3",2000-01-01,99,1,1,7888001119,PSAC,,,
РКЦ НАРЬЯН-МАР,,11,166000,г,Нарьян-Мар,"ул Ленина, 36",1996-05-07,10,3,1,1125000000,PSAC,,041117001,
ПУ БАНКА РОССИИ N 83604,,00,083604,,, П/П 83604,1994-02-17,40,3,1,0021002000,PSAC,,044525000,
РКЦ ВОРКУТА,,87,169906,г,Воркута,"ул Мира, 24",1994-01-20,10,3,1,8718000000,PSAC,,048702001,
ПУ БАНКА РОССИИ ОСТРОВНОЕ,,64,694534,с,Горячие Ключи,,1994-01-20,40,3,1,6482002000,PSAC,,040507001,
СИБИРСКОЕ ГУ БАНКА РОССИИ,,50,630099,г,Новосибирск,"Красный пр-т, 27",1994-01-20,00,3,1,5004001000,PSAC,,,
ПУ БАНКА РОССИИ ПОЛЯРНОЕ,,47,184532,г,Оленегорск 2,,1994-01-20,40,3,1,4783002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ФЛОТСКОЕ,,47,184670,г,Гаджиево, А/Я-43,1994-01-20,40,3,1,4784002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ПОЛЯРНОЕ,,47,184650,г,Полярный,"ул Гандюхина, 6",1994-01-20,40,3,1,4785002000,PSAC,,044030001,
РКЦ СЕРОВ,,65,624992,г,Серов,"ул Льва Толстого, 20",1994-01-20,10,3,1,6521000000,PSAC,,046577001,
РКЦ ТОЛЬЯТТИ,,36,445037,г,Тольятти,"ул Юбилейная, 31",1994-01-20,10,3,1,3678000000,PSAC,,043601001,
РКЦ НАДЫМ,,71,629730,г,Надым,"ул Зверева, 10",1994-01-20,10,3,1,7186000000,PSAC,,047102001,
РКЦ УССУРИЙСК,,05,692525,г,Уссурийск,"ул Некрасова, 102",1994-01-20,10,3,1,0508000000,PSAC,,040507001,
ПУ БАНКА РОССИИ N 83524,,00,083524,,, П/П 83524,1994-01-20,40,3,1,0031002000,PSAC,,044525000,
ПУ БАНКА РОССИИ N 25631,,00,468320,г,Байконур, П/П 25631,1994-01-20,40,3,1,0037002000,PSAC,,044525000,
ПУ БАНКА РОССИИ N 03148,,00,003148,,, П/П 03148,1994-01-20,40,3,1,0012002000,PSAC,,044525000,
ПУ БАНКА РОССИИ МАЛАХИТОВОЕ,,65,624204,г,Лесной-4,,1997-02-04,40,3,1,6576002000,PSAC,,046577001,
ПУ БАНКА РОССИИ N 10513,,00,010513,,, П/П 10513,1994-01-20,40,3,1,0041002000,PSAC,,044525000,
ПУ БАНКА РОССИИ БАЛТИЙСКОЕ,,27,236010,г,Калининград,"ул Тенистая Аллея, 73 А",1994-01-20,40,3,1,2780002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ЛАЗУРНОЕ,,27,238520,г,Балтийск,"Водолазный пер, 1",1994-01-20,40,3,1,2784002000,PSAC,,044030001,
РКЦ КИСЛОВОДСК,,07,357700,г,Кисловодск,"ул Куйбышева, 68",1994-01-20,10,3,1,0715000000,PSAC,,040702001,
ПУ БАНКА РОССИИ N 64106,,00,064106,,, П/П 64106,1994-01-20,40,3,1,0047002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ШОЛОХОВСКОЕ,,01,658076,п,Сибирский,,1994-01-20,40,3,1,0181002000,PSAC,,045004001,
ГУ БАНКА РОССИИ ПО ЦФО,,45,115035,г,Москва 35,"ул Балчуг, 2",1998-03-10,00,3,1,4525000000,PSAC,,,
ПУ БАНКА РОССИИ ВОЛЖСКОЕ,,63,412163,п,Светлый,,1994-01-20,40,3,1,6380002000,PSAC,,042202001,
ПУ БАНКА РОССИИ ОСТОЖЕНСКОЕ,,45,119034,г,Москва,"Лопухинский пер, 4",1994-01-20,40,3,1,4584002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ЧЕХОВСКОЕ,,46,142300,г,Чехов-5,,1997-09-23,40,3,1,4674002000,PSAC,,044525000,
УФК по Ставропольскому краю,RU,07,355031,г,Ставрополь,"ул Партизанская, 1 В",2009-12-30,52,3,0,0703101000,PSAC,,,
УФК по Республике Крым,RU,67,295015,г,Симферополь,"ул Севастопольская, 19",2014-03-28,52,3,1,6709002005,PSAC,,,
УФК по г. Севастополю,RU,67,299011,г,Севастополь,"ул Балаклавская, 9",2014-03-28,52,3,1,6709002006,PSAC,,,
УФК по Новосибирской области,RU,50,630011,г,Новосибирск,"ул Кирова, 3/1",2010-01-21,52,3,1,5080002001,PSAC,,,
УФК по Камчатскому краю,RU,30,683003,г,Петропавловск-Камчатский,"ул Ленинградск, 89",2011-02-01,52,3,1,3081002001,PSAC,,,
УФК по Республике Крым,RU,35,295015,г,Симферополь,"ул Севастопольская, 19",2015-12-08,52,3,1,3512002001,PSAC,,,
УФК по Камчатскому краю,RU,30,683003,г,Петропавловск-Камчатский,"ул Ленинградск, 89",2008-01-09,52,3,1,3083002001,PSAC,,,
"БЕЛГОРОДСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""",RU,14,308000,г,Белгород,"Народный б-р, 79",2013-07-15,30,3,1,1403838000,PSAC,2440/8,044525176,
РОСТОВСКИЙ ФИЛИАЛ ЦМРБАНК (ООО),RU,60,344082,г,Ростов-на-Дону,"ул. Согласия, д. 11/45",2016-06-14,30,3,1,6015075000,PSAC,3531/1,044525059,
"ПРИМОРСКИЙ ФИЛИАЛ АКБ ""БЭНК ОФ ЧАЙНА"" (АО)",RU,05,690003,г,Владивосток,"ул Верхнепортовая, 44 А",2013-01-15,30,3,1,0507900000,PSAC,2309/2,044525213,
УФК по Тверской области,RU,28,170036,г,Тверь,"Петербургское ш, 53 А",2011-08-16,52,3,0,2880101000,PSAC,,,
ПУ БАНКА РОССИИ АЙВАЗОВСКОЕ,,35,298108,г,Феодосия,"ул Горького, 25",2014-07-21,40,3,1,3512002000,PSAC,,040349001,
Избирательная комиссия Оренбургской области,RU,53,460046,г,Оренбург,"ул 9 Января, 64, комната 309",2000-01-01,99,1,0,5354001001,PSAC,,,
УФК по Республике Дагестан,RU,82,367015,г,Махачкала,"ул Магомеда Ярагского, 93",2013-02-11,52,3,1,8270002001,PSAC,,,
УФК по Новосибирской области,RU,50,630011,г,Новосибирск,"ул Кирова, 3/1",2009-01-30,52,3,1,5081002001,PSAC,,,
УФК по Приморскому краю,RU,05,690091,г,Владивосток,"ул Светланская, 69",2012-05-02,52,3,1,0582002182,PSAC,,,
УФК ПО КИРОВСКОЙ ОБЛАСТИ,RU,33,610000,г,Киров,"ул Московская, 55",2010-11-24,52,3,0,3380100000,PSAC,,,
УФК по Республике Марий Эл,RU,88,424000,г,Йошкар-Ола,"ул Вознесенская, 85",2004-12-22,52,3,1,8880002001,PSAC,,,
УФК по Ростовской области,RU,60,344019,г,Ростов-на-Дону,"пл Свободы, 7/2",2010-12-27,52,3,1,6080002003,PSAC,,,
"Ф-Л ""ЕВРОПЕЙСКИЙ"" ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""",RU,27,236010,г,Калининград,"ул Кутузова, 39",2014-12-30,30,3,1,2748877000,PSAC,436/28,044030790,
"АМУРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,10,675000,г,Благовещенск,"ул Ленина, 142",2001-02-09,30,3,1,1012731000,PSAC,3349/23,044525111,
"ИВАНОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,24,153002,г,Иваново,"пр-т Ленина, 21, стр 1",2001-07-13,30,3,1,2406780000,PSAC,3349/38,044525111,
"ИНГУШСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,26,386102,г,Назрань,"ул Московская, 13 А",2001-07-13,30,3,1,2618783000,PSAC,3349/42,044525111,
"ИРКУТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,25,664025,г,Иркутск,"ул Сурикова, 21",2005-11-24,30,3,1,2520700000,PSAC,3349/66,044525111,
"КОМИ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,87,167000,г,Сыктывкар,"ул Первомайская, 112/1",2007-08-16,30,3,1,8702739000,PSAC,3349/74,044525111,
"ПСКОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,58,180000,г,Псков,"ул Некрасова, 44 А",2006-10-16,30,3,1,5805772000,PSAC,3349/68,044525111,
ПУ БАНКА РОССИИ ЯКОРНОЕ,,30,683013,г,Петропавловск-Камчат 13,"ул Пономарёва, 33 А",1994-01-20,40,3,1,3083002000,PSAC,,040507001,
ПУ БАНКА РОССИИ ЗАВОДСКОЕ,,45,115093,г,Москва,"ул Павловская, 8",1994-01-20,40,3,1,4588002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ВОСТОЧНОЕ,,76,672000,г,Чита,,1994-01-20,40,3,1,7681002000,PSAC,,045004001,
ПУ БАНКА РОССИИ ВЛАДИМИРСКОЕ,,36,443539,п,Рощинский,"ул Факел Социализма, 21",1994-09-20,40,3,1,3683002000,PSAC,,042202001,
Д-Т ПОЛЕВЫХ УЧРЕЖДЕНИЙ БАНКА РОССИИ,,45,107016,г,Москва,"ул Неглинная, 12",1994-01-20,15,3,1,4587002000,PSAC,,044537002,
ПУ БАНКА РОССИИ ПРИАМУРСКОЕ,,08,680038,г,Хабаровск 38,,1994-01-20,40,3,1,0881002000,PSAC,,040507001,
ПУ БАНКА РОССИИ РЕЧНОЕ,,08,680047,г,Хабаровск 47,,1994-01-20,40,3,1,0884002000,PSAC,,040507001,
ПУ БАНКА РОССИИ ТАЕЖНОЕ,,08,681031,г,Комсомольск-на-Амуре 31,,1994-01-20,40,3,1,0885002000,PSAC,,040507001,
РКЦ ЗЛАТОУСТ,,75,456200,г,Златоуст,"ул Ленина, 4",1994-01-20,10,3,1,7520000000,PSAC,,047501001,
ПУ БАНКА РОССИИ ПОТСДАМСКОЕ,,22,606083,п,Мулино,,1995-07-27,40,3,1,2299002000,PSAC,,042202001,
ПУ БАНКА РОССИИ ЗАПАДНОЕ,,47,184310,г,Заозёрск,"ул Генерала Чумаченко, 4",1994-01-20,40,3,1,4782002000,PSAC,,044030001,
ПУ БАНКА РОССИИ ОКТЯБРЬСКОЕ,,11,164182,г,Мирный 12,,1994-01-20,40,3,1,1122002000,PSAC,,044030001,
РКЦ ХАНТЫ-МАНСИЙСК,,71,628011,г,Ханты-Мансийск,"ул Комсомольская, 47",1994-01-20,10,3,1,7162000000,PSAC,,047102001,
ПУ БАНКА РОССИИ МАГИСТРАЛЬНОЕ,,10,676850,г,Белогорск,"ул Кирова, 93",1994-01-20,40,3,1,1081002000,PSAC,,040507001,
ПУ БАНКА РОССИИ ПЕЧЕНГСКОЕ,,47,184410,пгт,Печенга,,1994-05-30,40,3,1,4715002000,PSAC,,044030001,
ПУ БАНКА РОССИИ НАХИМОВСКОЕ,,47,183017,г,Мурманск,"ул Чумбарова-Лучинского, 14",1994-01-20,40,3,1,4780002000,PSAC,,044030001,
ПУ БАНКА РОССИИ СЕВЕРНОЕ,,47,184372,пгт,Видяево,,1994-01-20,40,3,1,4781002000,PSAC,,044030001,
ПУ БАНКА РОССИИ АЛЕКСАНДРОВСКОЕ,,53,461132,с,Тоцкое Второе,,1994-01-20,40,3,1,5385002000,PSAC,,046577001,
ПУ БАНКА РОССИИ КУСТОВОЕ,,53,462770,г,Ясный,,1994-01-20,40,3,1,5386002000,PSAC,,046577001,
ПУ БАНКА РОССИИ СЕРТОЛОВСКОЕ,,41,188650,г,Сертолово,,1994-05-30,40,3,1,4125002000,PSAC,,044030001,
ДАЛЬНЕВОСТОЧНОЕ ГУ БАНКА РОССИИ,,05,690990,г,Владивосток,"ул Светланская, 71",1994-01-20,00,3,1,0507001000,PSAC,,,
ПУ БАНКА РОССИИ ВЛАДИМИРСКОЕ,,58,181111,п,Владимирский Лагерь,,1996-04-10,40,3,1,5801002000,PSAC,,044030001,
РКЦ САЛЕХАРД,,71,629007,г,Салехард,"ул Ленина, 51",1994-01-20,10,3,1,7182000000,PSAC,,047102001,
ПУ БАНКА РОССИИ ПРЕОБРАЖЕНСКОЕ,,75,456081,г,Трёхгорный-1,,1996-12-17,40,3,1,7583002000,PSAC,,046577001,
РКЦ НАХОДКА,,05,692904,г,Находка,"Находкинский пр-т, 13",1994-01-20,10,3,1,0510000000,PSAC,,040507001,
ПУ БАНКА РОССИИ ГАГАРИНСКОЕ,,29,249720,г,Козельск 5,,1994-01-20,40,3,1,2980002000,PSAC,,044525000,
РКЦ МАГНИТОГОРСК,,75,455002,г,Магнитогорск,"ул Кирова, 78",1994-01-20,10,3,1,7516000000,PSAC,,047501001,
ПУ БАНКА РОССИИ ФАБРИЧНОЕ,,12,416507,г,Ахтубинск,,1994-01-20,40,3,1,1236002000,PSAC,,040349001,
ПУ БАНКА РОССИИ ЦИОЛКОВСКОЕ,,12,416500,г,Знаменск,,1994-01-20,40,3,1,1280002000,PSAC,,040349001,
ПУ БАНКА РОССИИ КРЫЛАТСКОЕ,,46,141100,г,Щёлково 10,,1994-01-20,40,3,1,4681002000,PSAC,,044525000,
ПУ БАНКА РОССИИ ЦЕМЕССКОЕ,,03,353912,г,Новороссийск 12,"ул Тобольского, 3",1994-01-20,40,3,1,0397002000,PSAC,,040349001,
ПУ БАНКА РОССИИ СТЕПНОЕ,,81,671840,г,Кяхта,"ул Банзарова, 22 А",1994-01-20,40,3,1,8182002000,PSAC,,045004001,
ПУ БАНКА РОССИИ КРАСНОГВАРДЕЙСКОЕ,,88,424045,г,Йошкар-Ола 45,"ул Коммунистическая, 32",1994-01-20,40,3,1,8880002000,PSAC,,042202001,
РКЦ НОВОКУЗНЕЦК,,32,654005,г,Новокузнецк,"ул Орджоникидзе, 8",1994-01-20,10,3,1,3209000000,PSAC,,043207001,
ПУ БАНКА РОССИИ ЛЕНИНСКОЕ,,76,672900,п,Горный,,1994-01-20,40,3,1,7686002000,PSAC,,045004001,
ПУ БАНКА РОССИИ ДОНСКОЕ,,60,344016,г,Ростов-на-Дону,"ул Никулиной, 3",1994-01-20,40,3,1,6080002000,PSAC,,040349001,
УФК по Республике Северная Осетия -Алания,RU,90,362008,г,Владикавказ,"ул Коцоева, 24",2004-12-31,52,3,1,9082002001,PSAC,,,
УФК по Мурманской области,RU,47,183010,г,Мурманск,"пр-т Кирова, 14/2",2011-11-17,52,3,1,4781002003,PSAC,,,
Межрегиональное операционное УФК ,RU,45,109240,г,Москва,"ул В. Радищевская, 11, стр 1",2012-05-14,52,1,1,4588002003,PSAC,,,
УФК по Республике Бурятия ,RU,81,670000,г,Улан-Удэ,"ул Ермаковская, 12",2007-12-26,52,3,1,8140002001,PSAC,,,
"САРАТОВСКИЙ ФИЛИАЛ ПАО ""МЕТКОМБАНК""",RU,63,410002,г,Саратов,"ул им. Мичурина И.В., 150/154",2015-01-30,30,3,1,6311887000,PSAC,2443/6,046577881,
"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г.КАЛУГА",RU,29,248000,г,Калуга,"ул Воронина, 4",2002-02-08,30,3,1,2908770000,PSAC,1885/1,044525341,
"ООО""АВТОКРЕДИТБАНК""",RU,92,420081,г,Казань,"пр-т Альберта Камалеева, 16 А",1994-01-20,20,3,1,9205795000,PSAC,1973,,
УФК по Приморскому краю,RU,05,690091,г,Владивосток,"ул Светланская, 69",2014-12-31,52,3,1,0510000022,PSAC,,,
"АО НКБ ""СЛАВЯНБАНК""",RU,49,173004,г,Великий Новгород,"ул Черемнова-Конюхова, 12",1994-01-20,20,3,1,4959775000,PSAC,804,,
УФК по г. Москве,RU,45,115191,г,Москва,"3-я Рощинская ул, 3, стр 1",2011-12-28,52,3,1,4584002003,PSAC,,,
"БУРЯТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,81,670000,г,Улан-Удэ,"ул Смолина, 57 Д",2002-09-20,30,3,1,8142727000,PSAC,3349/59,044525111,
"ОРЕНБУРГСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,53,460000,г,Оренбург,"ул Ленинская, 59 Б",2000-10-27,30,3,1,5354816000,PSAC,3349/5,044525111,
"САХАЛИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,64,693020,г,Южно-Сахалинск,"пр-т Мира, 107",2007-06-18,30,3,1,6401747000,PSAC,3349/72,044525111,
"ТЮМЕНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,71,625000,г,Тюмень,"ул Первомайская, 21",2007-02-05,30,3,1,7102622000,PSAC,3349/71,044525111,
"ЧЕЛЯБИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,75,454091,г,Челябинск,"пр-т Ленина, 26 А",2008-10-09,30,3,1,7501821000,PSAC,3349/78,044525111,
"ЯКУТСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""",RU,98,677000,г,Якутск,"ул Пушкина, 12",2003-02-25,30,3,1,9805771000,PSAC,3349/60,044525111,
ПУ БАНКА РОССИИ СОЛНЕЧНОЕ,,65,620100,г,Екатеринбург,"Сибирский тракт, 3",1994-01-20,40,3,1,6579002000,PSAC,,046577001,
ПУ БАНКА РОССИИ ЛЕНИНСКОЕ,,65,624790,п,Свободный,"ул Ленина, 32",1994-01-20,40,3,1,6580002000,PSAC,,046577001,
СЕВЕРО-ЗАПАДНОЕ ГУ БАНКА РОССИИ,,40,191038,г,Санкт-Петербург,"наб р.Фонтанки, 68, 70, 72, 74",1994-01-20,00,3,1,4030001000,PSAC,,,
УРАЛЬСКОЕ ГУ БАНКА РОССИИ,,65,620144,г,Екатеринбург,"ул Циолковского, 18",1994-01-20,00,3,1,6577001000,PSAC,,,
ПУ БАНКА РОССИИ МИЧУРИНСКОЕ,,63,410063,г,Саратов 63,"ул Мичурина, 106",1994-01-20,40,3,1,6382002000,PSAC,,042202001,
ПУ БАНКА РОССИИ ЛЕНИНСКОЕ,,11,163055,рп,Белушья Губа,,1994-01-20,40,3,1,1126002000,PSAC,,044030001,
РКЦ НИЖНЕВАРТОВСК,,71,628605,г,Нижневартовск,"ул 60 лет Октября, 59 А",1994-01-20,10,3,1,7169000000,PSAC,,047102001,
ПУ БАНКА РОССИИ ГВАРДЕЙСКОЕ,,81,670047,г,Улан-Удэ,"ул Боевая, 7 А, стр 3",1994-01-20,40,3,1,8140002000,PSAC,,045004001,
РКЦ КОМСОМОЛЬСК-НА-АМУРЕ,,08,681024,г,Комсомольск-на-Амуре,"пр-т Первостроителей, 19",1994-01-20,10,3,1,0825000000,PSAC,,040813001,
РКЦ НЕРЮНГРИ,,98,678960,г,Нерюнгри,"пр-т Ленина, 25",1994-01-20,10,3,1,9849000000,PSAC,,049805001,
ПУ БАНКА РОССИИ ОЗЕРНОЕ,,05,692591,с,Сергеевка,,1994-01-20,40,3,1,0587002000,PSAC,,040507001,
Д-Т НАЛ. ДЕН. ОБРАЩЕНИЯ БАНКА РОССИИ,,45,107016,г,Москва 701,"ул Неглинная, 12",1994-01-20,15,3,1,4566002000,PSAC,,044537002,
ПУ БАНКА РОССИИ КАШИРИНСКОЕ,,75,456444,г,Чебаркуль-4,,1994-01-20,40,3,1,7582002000,PSAC,,046577001,
ПУ БАНКА РОССИИ ЮЖНОЕ,,46,143300,г,Наро-Фоминск 1,,1994-01-20,40,3,1,4697002000,PSAC,,044525000,
РКЦ СУРГУТ,,71,628412,г,Сургут,"пр-д Советов, 2",1994-01-20,10,3,1,7144000000,PSAC,,047102001,
РКЦ НОРИЛЬСК,,04,663300,г,Норильск,"Ленинский пр-т, 18",1994-01-20,10,3,1,0495000000,PSAC,,040407001,
РКЦ УХТА,,87,169310,г,Ухта,"ул Первомайская, 47",1994-01-20,10,3,1,8717000000,PSAC,,048702001,
ПУ БАНКА РОССИИ СЕВЕРНОЕ,,03,350005,г,Краснодар-5,"ул Кореновская, 47",1994-12-28,40,3,1,0394002000,PSAC,,040349001,
ПУ БАНКА РОССИИ НАБЕРЕЖНОЕ,,40,193168,г,Санкт-Петербург,"Дальневосточный пр-т, 28/10",1994-01-20,40,3,1,4080002000,PSAC,,044030001,
ПУ БАНКА РОССИИ РЕЧНОЕ,,04,660947,п,Солнечный,,1994-01-20,40,3,1,0486002000,PSAC,,045004001,
ФИНАНСОВЫЙ Д-Т БАНКА РОССИИ,,45,107016,г,Москва 701,"ул Неглинная, 12",1994-01-20,15,3,1,4536002000,PSAC,,044537002,
Д-Т БУХУЧЕТА И ОТЧЕТНОСТИ БАНКА РОССИИ,,45,107016,г,Москва 701,"ул Неглинная, 12",1994-01-20,15,3,1,4537002000,PSAC,,,
РКЦ ЭГВЕКИНОТ,,77,689202,пгт,Эгвекинот,"ул Ленина, 9 А",1994-01-20,10,3,1,7749000000,PSAC,,047719001,
