bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
045354880	ГК "АСВ" - КУ АО "НСТ-БАНК"	45	109240	г	Москва	ул. Высоцкого,4		2018-10-02	90	1	0	5354880000	PSAC	1738	RU	30101810265775300880	CRSA	97	045354001	ACAC			
044525075	КУ АКБ "МОСУРАЛБАНК" (АО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		2016-06-21	90	1	0	4525075000	PSAC	2468	RU	30101810345250000075	CRSA	14	044525000	ACAC			
044525760	КУ БАНК РСБ 24 (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-21	90	1	0	4525760000	PSAC	1073	RU	30101810045250000760	CRSA	71	044525000	ACAC			
044525421	КУ КБ "МСБ" (ООО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		2016-05-16	90	1	0	4525421000	PSAC	3484	RU	30101810245250000421	CRSA	63	044525000	ACAC			
042202773	КУ ПАО НКБ "РАДИОТЕХБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2013-10-09	90	1	0	2202773000	PSAC	1166	RU	30101810522020000773	CRSA	28	042202001	ACAC			
044525353	КУ "МАСТЕР-БАНК" (ОАО) ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2007-11-09	90	1	0	4525353000	PSAC	2176	RU	30101810000000000353	CRSA	81	044525000	ACAC			
044525744	КУ АО КБ "РУБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-30	90	1	0	4525744000	PSAC	2813	RU	30101810045250000744	CRSA	29	044525000	ACAC			
045773707	КОНКУРСНЫЙ УПР. ОАО АКБ "ЭКОПРОМБАНК"-ГК"АСВ"	57	614015	г	Пермь	ул. Монастырская, д. 57, оф. 208		1997-04-03	90	1	0	5773707000	PSAC	2011	RU	30101810000000000707	CRSA	78	045773001	ACAC			
042520811	Конкурсный управляющий АО "ГринКомБанк" - ГК "АСВ"	45	115114	г	Москва	ул. Павелецкая наб., д.8		2017-04-21	90	1	0	2520811000	PSAC	1184	RU	30101810950040000811	CRSA	81	042520001	ACAC			
044525137	КУ БАНК ЭКОНОМИЧЕСКИЙ СОЮЗ (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-23	90	1	0	4525137000	PSAC	2798	RU	30101810445250000137	CRSA	66	044525000	ACAC			
