bic	namep	rgn	ind	tnp	nnp	adr	prntbic	datein	pttype	srvcs	xchtype	uid	participantstatus	regn	cntrcd	account	regulationaccounttype	ck	accountcbrbic	accountstatus	englname	swbic	defaultswbic
012618001	УФК по Республике Ингушетия	26	386001	г	Магас	ул А.Горчханова, 7		2021-01-05	52	3	1	2618001001	PSAC		RU	40102810345370000027	UTRA	50	042618001	ACAC			
273000290	Избирательная комиссия Ульяновской области	73	432970	г	Ульяновск	ул Радищева, 1		1995-09-12	99	3	1	7308001007	PSAC		RU	40301810200000000001	BANA	75	047308001	ACAC			
044030905	АО "БАНК БЕРЕЙТ"	41	187015	пгт	Красный Бор	ул. Промышленная, д. 3, пом. II		2023-05-16	20	3	1	4030905000	PSAC	3505	RU	30101810145374030905	CRSA	08	044030001	ACAC	Joint Stock Company "BANK BEREIT"	BBANRU2RXXX	1
044525187	Банк ВТБ (ПАО)	45	123100	г	Москва	Пресненская наб., дом 12		2024-04-05	20	5	1	4525187000	PSAC	1000	RU	40701810945374525187	TRUA	67	044525000	ACAC	VTB BANK (PJSC)	VTBRRUMMXXX	1
043601706	АО КБ "СОЛИДАРНОСТЬ"	36	443079	г	Самара	проезд Георгия Митирева, д. 11		1991-03-01	20	5	1	3601706000	PSAC	554	RU	30101810800000000706	CRSA	58	043601001	ACAC	Joint-Stock Company Commercial Bank "Solidarnost"	SLDRRU3SXXX	1
044525434	КУ ПАО БАНК "ЮГРА" - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д.4		2016-07-21	90	1	0	4525434000	PSAC	880	RU	30101810245250000434	CRSA	85	044525000	ACAC			
046711119	СЕВАСТОПОЛЬСКИЙ Ф-Л ПАО "БАНК ПСБ"	67	299011	г	Севастополь	вн.тер.г. Ленинский муниципальный округ, пр-кт Нахимова, д. 1	044525555	2022-10-05	30	3	1	6711119000	PSAC	3251/55	RU	30101810545376711119	CRSA	32	046711001	ACAC			
045004108	УФК по Курганской области	50	640018	г	Курган	ул. Савельева, д.23		2025-07-01	52	3	1	0000000019	PSAC		RU	40102810445370000108	UTRA	42	045004001	ACAC			
045004109	УФК по Республике Алтай	50	649000	г	Горно-Алтайск	ул. В.И. Чаптынова, д.4		2025-07-01	52	3	1	0000000020	PSAC		RU	40102810745370000109	UTRA	64	045004001	ACAC			
045655707	ПАО БАНК "КУЗНЕЦКИЙ"	56	440000	г	Пенза	ул. Красная, д. 104		2004-10-19	20	5	1	5655707000	PSAC	609	RU	30101810200000000707	CRSA	35	045655001	ACAC			
044030757	ПАО ФИНСТАР БАНК	40	196084	г	Санкт-Петербург	ул. Черниговская, д. 8, лит. А, пом. 1-Н		2004-02-26	20	5	1	4030757000	PSAC	3245	RU	30101810600000000757	CRSA	77	044030001	ACAC	Public Joint Stock Company "FINSTAR BANK" (PJSC FINSTAR BANK)	SAOARU2PXXX	1
046902728	ПАО "ТОМСКПРОМСТРОЙБАНК"	69	634061	г	Томск	пр-т Фрунзе, 90		1998-01-01	20	5	1	6902728000	PSAC	1720	RU	30101810500000000728	CRSA	83	046902001	ACAC	PJSC "Tomskpromstroybank"	TMKPRU5TXXX	1
046577501	ФИЛИАЛ № 6602 БАНКА ВТБ (ПАО)	65	620014	г	Екатеринбург	пр-т Ленина, 27	044525187	2017-11-01	30	3	1	6577501000	PSAC	1000/92	RU	30101810165770000501	CRSA	07	046577001	ACAC	VTB BANK (PJSC) (VTB BANK (PJSC) BRANCH № 6602)	VTBRRUM2EK3	1
044525771	ООО "Промсельхозбанк"	45	127006	г	Москва	вн.тер.г. муниципальный округ Тверской, ул. Малая Дмитровка, д.14, стр.4.		2015-08-28	20	5	1	4525771000	PSAC	538	RU	30101810445250000771	CRSA	57	044525000	ACAC	Industrial Agricultural Bank Limited ("Promselhozbank" Ltd.)	PSHBRUMMXXX	1
045209713	КУ БАНК "СИБЭС" (АО) - ГК "АСВ"	52	644007	г	Омск	ул Рабиновича, 132/134		1989-12-12	90	1	0	5209713000	PSAC	208	RU	30101810200000000713	CRSA	83	045209001	ACAC			
257000961	Избирательная комиссия Пермского края	57	614006	г	Пермь	ул Ленина, 51		2015-11-16	99	3	1	5773001001	PSAC		RU	40301810057730000001	BANA	43	045773001	ACAC			
041012764	АМУРСКИЙ ФИЛИАЛ ООО "КРОНА-БАНК"	10	675000	г	Благовещенск	ул Калинина, 4, пом. IX	042520840	2011-04-19	30	3	1	1012764000	PSAC	2499/1	RU	30101810000000000764	CRSA	41	041012001	ACAC			
044525464	АО "Банк БЖФ"	45	121357	г	Москва	ул. Верейская, д. 29, стр.134		2015-08-24	20	5	1	4525464000	PSAC	3138	RU	30101810545250000464	CRSA	74	044525000	ACAC	Joint Stock Company "Housing Finance Bank" (HFB)	UITBRUMMXXX	1
040881100	УФК по Хабаровскому краю	08	680000	г	Хабаровск	ул Дзержинского, 41		2013-03-04	52	3	1	0881002014	PSAC		RU	40116810400000010005	TRSA	99	040881002	ACAC			
043209770	ООО "НОВОКИБ"	32	654080	г	Новокузнецк	улица Свердлова, дом №7, помещение 181		1992-07-29	20	3	1	3209770000	PSAC	1747	RU	30101810900000000770	CRSA	28	043209000	ACAC			
046709002	ПУ БАНКА РОССИИ ЧЕРНОМОРСКОЕ	67	299011	г	Севастополь	ул. Адмирала Владимирского, д. 30	040349001	2015-01-01	40	3	1	6709002000	PSAC										
049626002	ПУ БАНКА РОССИИ СТОРОЖЕВОЕ	96	364024	г	Грозный	 А/Я 576	040349001	2000-07-05	40	3	1	9626002000	PSAC										
042908762	ООО банк "Элита"	29	248000	г	Калуга	ул Московская, 6		1991-06-18	20	5	1	2908762000	PSAC	1399	RU	30101810500000000762	CRSA	50	042908001	ACAC	BANK "ELITA"	ELIARU22XXX	1
044525185	"БНП ПАРИБА БАНК" АО	45	125047	г	Москва	ул. Лесная, д. 5		2002-07-19	20	3	1	4525185000	PSAC	3407	RU	30101810100000000185	CRSA	87	044525000	ACAC	"BNP PARIBAS Bank" Joint stock company ("BNP PARIBAS BANK" JSC)	BNPARUMMXXX	1
044588101	УФК по г. Москве	45	115191	г	Москва	3-я Рощинская ул, 3, стр 1		2013-02-14	52	1	1	4588002002	PSAC		RU	40116810300000010007	TRSA	99	044588002	ACAC			
044525677	АО "Яндекс Банк"	45	115035	г	Москва	ул. Садовническая, д. 82 стр. 2		2015-09-11	20	5	1	4525677000	PSAC	3027	RU	30101810345250000677	CRSA	18	044525000	ACAC	Joint stock company "Yandex Bank" (JSC "Yandex Bank")	COAKRUM1	1
024501901	Межрегиональное операционное УФК	45	109240	г	Москва	ул. Верхняя Радищевская, д.11, стр.1		2011-09-13	52	5	1	4501002901	PSAC		RU	40816810400000001901	TRSA	26	044501002	ACAC			
048073842	КУ РОСКОМСНАББАНК (ПАО) - ГК "АСВ"	45	109240	г	Москва	ул. Высоцкого, д. 4		1991-05-06	90	1	0	8073842000	PSAC	1398	RU	30101810800000000842	CRSA	39	048073001	ACAC			
040495000	РКЦ НОРИЛЬСК	04	663300	г	Норильск	Ленинский пр-т, дом 18, пом. 74	040407001	1994-01-20	10	3	1	0495000000	PSAC										
042202910	Росбанк филиал Приволжье АО "ТБанк"	22	603086	г	Нижний Новгород	ул. Керченская, д. 13	044525974	2024-12-28	30	3	1	2202910000	PSAC	2673/11	RU	30101810145372202910	CRSA	02	042202001	ACAC			
043510135	Крымский ф-л ПАО "Банк ПСБ"	35	295000	г	Симферополь	пр-кт Кирова, д. 36 Литер Е	044525555	2022-10-04	30	3	1	3510135000	PSAC	3251/54	RU	30101810645373510135	CRSA	36	043510001	ACAC			
004525988	УФК ПО Г. МОСКВЕ	45	115191	г	Москва	3-я Рощинская ул, 3, стр 1		2021-01-05	52	3	1	4525000988	PSAC		RU	40102810545370000003	UTRA	64	044525000	ACAC			
252000078	Избирательная комиссия Омской области	52	644002	г	Омск	ул Красный Путь, 1		1995-09-12	99	3	1	5209001005	PSAC		RU	40301810300000000115	BANA	59	045209001	ACAC			
271000013	ИЗБИРАТЕЛЬНАЯ КОМИССИЯ ТЮМЕНСКОЙ ОБЛАСТИ	71	625004	г	Тюмень	Володарского, 49		1995-08-29	99	3	1	7102001001	PSAC		RU	40301810300000000006	BANA	75	047102001	ACAC			
042157106	Донецкий ф-л ПАО "Банк ПСБ"	21	283015	г	Донецк	просп. Мира, д. 8А	044525555	2023-01-04	30	3	1	2157106000	PSAC	3251/52	RU	30101810745372157106	CRSA	61	042157001	ACAC			
044525068	ООО "ОЗОН Банк"	45	123112	г	Москва	Пресненская набережная, дом 10, этаж 19		2022-03-18	20	5	1	4525068000	PSAC	3542	RU	30101810645374525068	CRSA	21	044525000	ACAC			
042748877	Ф-Л "ЕВРОПЕЙСКИЙ" ПАО "БАНК "САНКТ-ПЕТЕРБУРГ"	27	236017	г	Калининград	ул. Кутузова, дом 39	044030790	2014-12-24	30	3	1	2748877000	PSAC	436/28	RU	30101810927480000877	CRSA	25	042748001	ACAC			
042748878	КАЛИНИНГРАДСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	27	236022	г	Калининград	ул. Гостиная, дом 3	044525111	2002-04-16	30	3	1	2748878000	PSAC	3349/55	RU	30101810500000000878	CRSA	17	042748001	ACAC			
201000873	Крайизбирком	01	656049	г	Барнаул	пр-т Ленина, 59		1999-11-29	99	3	1	0173001002	PSAC		RU	40301810800000000001	BANA	37	040173001	ACAC			
205000024	Избирательная комиссия Приморского края	05	690110	г	Владивосток	ул Светланская, 22		1995-06-27	99	3	1	0507001001	PSAC		RU	40301810200000000062	BANA	55	040507001	ACAC			
293000016	ИЗБИРКОМ РТ	93	667000	г	Кызыл	ул Чульдум, 18		1994-10-03	99	3	1	9304001002	PSAC		RU	40301810900000000044	BANA	05	049304001	ACAC			
211000123	Избирательная комиссия Архангельской области	11	163000	г	Архангельск	пл. Ленина, 1		1993-12-31	99	3	1	1117001001	PSAC		RU	40301810800000000076	BANA	88	041117001	ACAC			
227000057	Избирательная комиссия Калининградской области	27	236006	г	Калининград	Московский проспект, 95		1995-09-04	99	3	1	2748001001	PSAC		RU	40301810700000000002	BANA	90	042748001	ACAC			
232000049	Избирательная комиссия Кемеровской области - Кузбасса	32	650991	г	Кемерово	Советский пр-т, 58		1995-10-18	99	3	1	3207001005	PSAC		RU	40301810900000000003	BANA	27	043207001	ACAC			
280001523	Избирательная комиссия Свердловской области	65	620000	г	Екатеринбург	ул Пушкина, 19		2016-05-31	99	3	1	6577001004	PSAC		RU	40301810565770000001	BANA	08	046577001	ACAC			
263000258	Избирательная комиссия Саратовской области	63	410012	г	Саратов	ул Челюскинцев, 116		1998-01-01	99	3	1	6311001004	PSAC		RU	40301810200000000001	BANA	28	046311001	ACAC			
044525583	Банк РМП (АО)	45	123557	г	Москва	улица Климашкина, дом 21, строение 1		2015-08-31	20	5	1	4525583000	PSAC	2574	RU	30101810345250000583	CRSA	38	044525000	ACAC	Industry development and modernization bank (Joint-Stock Company) (Bank IDM (JSC))	JCFORUMMXXX	1
014030106	УФК по г.Санкт-Петербургу	40	197046	г	Санкт-Петербург	ул. Котовского, д. 1/10, литера В		2021-01-05	52	3	1	4030001106	PSAC		RU	40102810945370000005	UTRA	97	044030001	ACAC			
041708706	АО "ВЛАДБИЗНЕСБАНК"	17	600015	г	Владимир	проспект Ленина, 35		1991-03-20	20	5	1	1708706000	PSAC	903	RU	30101810100000000706	CRSA	70	041708001	ACAC	Joint-Stock Company Vladbusinessbank (JSC Vladbusinessbank)	VLADRU22	1
044525066	ООО РНКО "ЦИФРОВЫЕ РЕШЕНИЯ"	45	119034	г	Москва	вн.тер.г. муниципальный округ Хамовники, переулок Пожарский, дом 13		2025-02-20	20	3	1	4525066001	PSAC	3552-К	RU	30103810645374525066	CRSA	35	044525000	ACAC			
017888102	УФК по Ярославской области	78	150044	г	Ярославль	ул Полушкина Роща, 16, стр 7		2021-01-05	52	3	1	7888001102	PSAC		RU	40102810245370000065	UTRA	24	047888001	ACAC			
015354008	УФК по Оренбургской области	53	460014	г	Оренбург	ул Левашова, 20		2021-01-05	52	3	1	5354001008	PSAC		RU	40102810545370000045	UTRA	71	045354001	ACAC			
016614901	УФК по Смоленской области	66	214000	г	Смоленск	ул Докучаева, 7		2022-04-01	52	3	1	6614001901	PSAC		RU	40116810045376614006	TRSA	07	046614001	ACAC			
044525619	ООО "Пихта Банк"	45	107045	г	Москва	вн.тер.г. муниципальный округ Мещанский, улица Трубная, дом 12, помещение 3/1		2010-09-01	20	3	1	4525619000	PSAC	3500	RU	30101810100000000619	CRSA	38	044525000	ACAC	VOLKSWAGEN BANK RUS	VOWARUMMXXX	1
048860721	МАРИЙСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	88	424002	г	Йошкар-Ола	ул Волкова, 116	044525111	2000-10-24	30	3	1	8860721000	PSAC	3349/16	RU	30101810400000000721	CRSA	83	048860001	ACAC			
040173733	АЛТАЙСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	01	656015	г	Барнаул	пр-т Ленина, 80 Б	044525111	2001-04-06	30	3	1	0173733000	PSAC	3349/18	RU	30101810100000000733	CRSA	57	040173001	ACAC			
045209701	ГК АСВ конкурсный управляющий АО "Эксперт Банк"	52	644046	г	Омск	ул. Маршала Жукова, дом 107		2018-09-05	90	1	0	5209701000	PSAC	2949	RU	30101810450045209701	CRSA	58	045209001	ACAC			
010349101	УФК по Краснодарскому краю	03	350000	г	Краснодар	ул. Карасунская, 155		2022-01-04	52	3	1	0349001101	PSAC		RU	40102810045370000088	UTRA	08	040349001	ACAC			
046577512	Росбанк филиал Урал АО "ТБанк"	65	620014	г	Екатеринбург	ул. Хохрякова, 41	044525974	2024-12-28	30	3	1	6577512000	PSAC	2673/10	RU	30101810845376577512	CRSA	85	046577001	ACAC			
046015078	ООО "ЗЕМКОМБАНК"	60	344000	г	Ростов-на-Дону	городской округ Город Ростов-на-Дону, площадь Гагарина, дом 6/87, помещение 1		2017-09-04	20	3	1	6015078000	PSAC	574	RU	30101810760150000078	CRSA	78	046015001	ACAC	LAND COMMERCIAL BANK LIMITED LIABILITY COMPANY	ZEMCRUR2	1
236000127	Избирком	36	443001	г	Самара	ул Садовая, 329		1995-10-23	99	3	1	3601001200	PSAC		RU	40301810900000000001	BANA	38	043601001	ACAC			
278000785	Мосгоризбирком	45	125032	г	Москва	ул Тверская, 13		2016-06-01	99	3	1	4525000096	PSAC		RU	40301810745250000096	BANA	28	044525000	ACAC			
235000565	ИКРК	35	295000	г	Симферополь	ул. Екатерининская, д. 18		2014-05-21	99	3	1	3510001003	PSAC		RU	40301810035100000001	BANA	76	043510001	ACAC			
200000154	ИК ДНР	21	283050	г	Донецк	б-р Пушкина, д. 34		2023-04-03	99	3	1	2157001102	PSAC		RU	40301810245372157001	BANA	47	042157001	ACAC			
200000155	ИК ЛНР	43	291002	г	Луганск	ул. Карла Либкнехта, д. 9А, помещ. 319		2023-04-10	99	3	1	4371001102	PSAC		RU	40301810245374371001	BANA	12	044371001	ACAC			
200000151	ИК ЗО	23	272312	г	Мелитополь	пл. Победы, д.4		2023-03-15	99	3	1	2368001102	PSAC		RU	40301810645372368001	BANA	89	042368001	ACAC			
240000189	Санкт-Петербургская избирательная комиссия	40	190068	г	Санкт-Петербург	Вознесенский пр., д. 3-5, ЛИТ А		2001-03-29	99	3	1	4030001001	PSAC		RU	40301810900000000001	BANA	06	044030001	ACAC			
046577674	УРАЛЬСКИЙ БАНК ПАО СБЕРБАНК	65	620026	г	Екатеринбург	ул Куйбышева, 67	044525225	1998-05-28	30	3	1	6577674000	PSAC	1481/366	RU	30101810500000000674	CRSA	12	046577001	ACAC	SBERBANK (URALSKY HEAD OFFICE)	SABRRUMMEA1	1
044525986	КУ ОАО АКБ "ПРОБИЗНЕСБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		1998-03-25	90	1	0	4525986000	PSAC	2412	RU	30101810600000000986	CRSA	96	044525000	ACAC	Probusinessbank		
018327106	УФК по Кабардино-Балкарской Республике	83	360000	г	Нальчик	ул Ногмова, 37		2021-01-05	52	3	1	8327001106	PSAC		RU	40102810145370000070	UTRA	97	048327001	ACAC			
010702101	УФК по Ставропольскому краю	07	355031	г	Ставрополь	ул. Партизанская, дом 1В		2021-01-05	52	3	1	0702001101	PSAC		RU	40102810345370000013	UTRA	34	040702001	ACAC			
042202846	НИЖЕГОРОДСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	22	603022	г	Нижний Новгород	ул Кулибина, 3	044525111	2001-07-05	30	3	1	2202846000	PSAC	3349/39	RU	30101810000000000846	CRSA	11	042202001	ACAC			
049205772	"Банк Заречье" (АО)	92	420032	г	Казань	ул Лукницкого, 2		1991-05-21	20	5	1	9205772000	PSAC	817	RU	30101810900000000772	CRSA	65	049205001	ACAC	ZARECHYE BANK	ZAJCRU2KXXX	1
045402704	ФИЛИАЛ "БАНКА ЗАРЕЧЬЕ" (АО) В Г. ОРЛЕ	54	302020	г	Орёл	Наугорское ш, 8А лит А	049205772	2012-04-16	30	3	1	5402704000	PSAC	817/13	RU	30101810100000000704	CRSA	21	045402001	ACAC			
044525080	ООО РНКО "АМРА"	45	127018	г	Москва	улица Складочная, дом 1, строение 1		2025-06-06	20	3	0	4525080000	PSAC	3554-К	RU	30103810045374525080	CRSA	33	044525000	ACAC			
271001666	ИК ЯНАО	71	629008	г	Салехард	ул Республики, 72		1997-11-28	99	3	1	7182000001	PSAC		RU	40301810200000000001	BANA	27	047182000	ACAC			
012202102	УФК по Нижегородской области	22	603082	г	Нижний Новгород	Кремль, к 1 а		2021-01-05	52	3	1	2202001102	PSAC		RU	40102810745370000024	UTRA	93	042202001	ACAC			
018602104	УФК по Республике Карелия	86	185035	г	Петрозаводск	ул Куйбышева, 21		2021-01-05	52	3	1	8602001104	PSAC		RU	40102810945370000073	UTRA	07	048602001	ACAC			
016311121	УФК по Саратовской области	63	410056	г	Саратов	ул Ильинская, 1/6		2021-01-05	52	3	1	6311001121	PSAC		RU	40102810845370000052	UTRA	13	046311001	ACAC			
011501101	УФК по Брянской области	15	241050	г	Брянск	ул Крахмалева, 61		2021-01-05	52	3	1	1501001101	PSAC		RU	40102810245370000019	UTRA	54	041501001	ACAC			
042880101	УФК по Тверской области	28	170036	г	Тверь	Петербургское ш, 53 А		2011-08-16	52	3	0	2880101000	PSAC		RU								
043512002	ПУ БАНКА РОССИИ АЙВАЗОВСКОЕ	35	298108	г	Феодосия	ул Горького, 25	040349001	2014-07-21	40	3	1	3512002000	PSAC										
044525729	КУ АКБ "ИНВЕСТБАНК" (ОАО)-ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-08	90	1	0	4525729000	PSAC	107	RU	30101810345250000729	CRSA	09	044525000	ACAC			
044525695	КУ ОАО БАНК "СОДРУЖЕСТВО"-ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-06-03	90	1	0	4525695000	PSAC	2923	RU	30101810945250000695	CRSA	07	044525000	ACAC			
044501078	Небанковская кредитная организация - центральный контрагент "РДК" (Акционерное общество)	45	119021	г	Москва	ул. Тимура Фрунзе, д. 24, эт. 2, пом. I, ком. 1-29		2021-07-16	75	3	1	4501002078	PSAC		RU	30415810345010000002	CLAC	22	044501002	ACAC			
200000390	Минфин России	45	109097	г	Москва	улица Ильинка, 9, стр. 1		2018-08-31	99	3	0	4525000023	PSAC		RU	40106810845250000023	BANA	03	044525000	ACAC			
245011052	ФКУ "ГНТЦ "Гарант"	45	109012	г	Москва	ул. Ильинка, д. 7		2015-12-21	99	3	0	4525000021	PSAC		RU	40106810545250001021	BANA	65	044525000	ACAC			
245011066	АНО "ФЗВ"	35	295000	г	Симферополь	ул. Набережная имени 60-летия СССР, д. 69А		2015-12-28	99	3	0	4525000026	PSAC		RU	40503810445250000026	BANA	79	044525000	ACAC			
245011073	Координационный Комитет по вопросам ПВО	45	143922	г	Балашиха	мкр Заря		2015-12-30	99	3	0	4525000031	PSAC		RU	40808810245250000031	BANA	59	044525000	ACAC			
044525130	КУ ПАО МАБ "ТЕМПБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-06-06	90	1	0	4525130000	PSAC	55	RU	30101810345250000130	CRSA	25	044525000	ACAC			
044525157	КУ ООО КБ "АДМИРАЛТЕЙСКИЙ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-24	90	1	0	4525157000	PSAC	3054	RU	30101810645250000157	CRSA	91	044525000	ACAC			
044525932	КУ БАНК "КЛИЕНТСКИЙ" (АО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-13	90	1	0	4525932000	PSAC	2324	RU	30101810145250000932	CRSA	48	044525000	ACAC			
044525147	АО "Авто Финанс Банк"	45	109028	г	Москва	Серебряническая наб., дом 29		2016-05-12	20	5	1	4525147000	PSAC	170	RU	30101810545250000147	CRSA	30	044525000	ACAC	RN BANK	RNBKRUMMXXX	1
044525397	КУ ОАО "ЮНИКОРБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2016-05-16	90	1	0	4525397000	PSAC	2586	RU	30101810845250000397	CRSA	63	044525000	ACAC			
044525569	КУ "НОТА-БАНК" (ПАО) - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2007-11-26	90	1	0	4525569000	PSAC	2913	RU	30101810700000000569	CRSA	91	044525000	ACAC			
044525447	КУ ООО КБ "БАНК БФТ" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2015-09-08	90	1	0	4525447000	PSAC	2273	RU	30101810245250000447	CRSA	10	044525000	ACAC			
044525455	КУ ООО "ВНЕШПРОМБАНК" - ГК "АСВ"	45	109240	г	Москва	ул Высоцкого, 4		2000-07-07	90	1	0	4525455000	PSAC	3261	RU	30101810500000000455	CRSA	86	044525000	ACAC			
044525191	Креди Агриколь КИБ АО	45	101000	г	Москва	Большой Златоустинский переулок, дом 1, строение 6		2023-06-13	20	3	1	4525191000	PSAC	1680	RU	30101810745374525191	CRSA	27	044525000	ACAC	CREDIT AGRIKOLE CIB AO	CRLYRU2P	1
047475001	ОТДЕЛЕНИЕ ХЕРСОН БАНКА РОССИИ	74	273003	г	Херсон	ул. Перекопская, 5	040349001	2022-12-07	12	3	0	7475001000	PSAC										
044697100	УФК по Московской области	46	115114	г	Москва	ул Дербеневская, 5		2015-03-30	52	1	1	4697002001	PSAC		RU	40116810946970010001	TRSA	99	044697002	ACAC			
047003792	Филиал "Тульский" ООО КБ "АРЕСБАНК"	70	300000	г	Тула	ул. Оборонная, д.25	044525229	2000-02-04	30	3	1	7003792000	PSAC	2914/1	RU	30101810300000000792	CRSA	02	047003001	ACAC			
040407777	ФИЛИАЛ БАНКА ВТБ (ПАО) В Г.КРАСНОЯРСКЕ	04	660049	г	Красноярск	ул. Ленина, д. 46	044525187	1997-12-05	30	3	1	0407777000	PSAC	1000/3	RU	30101810200000000777	CRSA	37	040407001	ACAC	VTB BANK (PJSC)	VTBRRUM2KRA	1
100070013	ООО МДО "МАТИН"	00	735700	г	Худжанд	ул. Шарк строение 84		2022-07-12	71	6	0	1000000011	PSAC		TJ						Limited Liability Company Microcredit Deposit Organization "MATIN"		
100070008	ЗАО "Душанбе Сити Банк"	00	734018	г	Душанбе	район Фирдавси, ул. Сохили, здание 5		2022-07-12	71	6	0	1000000007	PSAC		TJ						Closed Joint Stock Company "Dushanbe City Bank"		
100070011	ОАО "КОММЕРЦБАНК ТАДЖИКИСТАНА"	00	734025	г	Душанбе	р-н И. Сомони, ул. Бохтар 37/1		2022-07-12	71	6	0	1000000009	PSAC		TJ						OPEN JOINT-STOCK COMPANY "COMMERCE BANK OF TAJIKISTAN"		
040407523	АО АИКБ "ЕНИСЕЙСКИЙ ОБЪЕДИНЕННЫЙ БАНК"	04	660049	г	Красноярск	ул. Карла Маркса, дом 62, помещения № 25, 26, 27		2017-08-30	20	5	1	0407523000	PSAC	2645	RU	30101810650040000523	CRSA	85	040407001	ACAC			
040349556	ЮЖНЫЙ ФИЛИАЛ АО "РАЙФФАЙЗЕНБАНК"	03	350002	г	Краснодар	Центральный округ, ул. Северная, дом 395	044525700	2006-06-13	30	3	1	0349556000	PSAC	3292/7	RU	30101810900000000556	CRSA	84	040349001	ACAC			
044959722	НОВГОРОДСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	49	173000	г	Великий Новгород	ул Б. Московская, 9	044525111	2000-10-23	30	3	1	4959722000	PSAC	3349/8	RU	30101810500000000722	CRSA	20	044959001	ACAC			
044525267	ИНВЕСТТОРГБАНК АО	45	115054	г	Москва	ул. Дубининская, д. 45		2016-06-08	20	3	1	4525267000	PSAC	2763	RU	30101810645250000267	CRSA	16	044525000	ACAC	JOINT STOCK COMPANY INVESTTORGBANK	JSCVRUM2	1
044525285	АО "РЕАЛИСТ БАНК"	45	109004	г	Москва	ул. Станиславского, дом 4, строение 1		2019-06-24	20	5	1	4525285000	PSAC	1067	RU	30101810245250000285	CRSA	94	044525000	ACAC	JSC REALIST BANK	BIJORU66XXX	1
044525555	ПАО "Банк ПСБ"	45	150003	г	Ярославль	улица Республиканская, дом 16		2011-11-23	20	5	1	4525555000	PSAC	3251	RU	30101810400000000555	CRSA	47	044525000	ACAC	PROMSVYAZBANK PJSC	PRMSRUMMXXX	1
047102622	ТЮМЕНСКИЙ РФ АО "РОССЕЛЬХОЗБАНК"	71	625000	г	Тюмень	ул Первомайская, 21	044525111	2007-02-05	30	3	1	7102622000	PSAC	3349/71	RU	30101810800000000622	CRSA	52	047102001	ACAC			
046850755	АО БАНК "ТКПБ"	68	392000	г	Тамбов	ул Советская, 118		1994-11-03	20	3	1	6850755000	PSAC	1312	RU	30101810600000000755	CRSA	85	046850001	ACAC	Joint-Stock Company Bank "Tambovkreditprombank"	TAMBRU21XXX	1
045004051	Новосибирский филиал РНКО "Р-ИНКАС" (ООО)	50	630049	г	Новосибирск	ул. Дмитрия Донского, 11	044525063	2018-10-26	30	3	1	5004051000	PSAC	3536-К/1	RU	30103810450045004051	CRSA	51	045004001	ACAC			
295000301	Избирательная комиссия Республики Хакасия	95	655017	г	Абакан	пр-кт Ленина, д.67		1995-07-14	99	3	1	9514001002	PSAC		RU	40301810800000000033	BANA	16	049514001	ACAC			
047888710	ФИЛИАЛ АКБ "ФОРА-БАНК" (АО) В Г.ЯРОСЛАВЛЬ	78	150014	г	Ярославль	Которосльная наб, 57	044525341	2006-06-01	30	3	1	7888710000	PSAC	1885/2	RU	30101810800000000710	CRSA	04	047888001	ACAC			
044525094	Московский филиал "БАНК СГБ"	45	121069	г	Москва	ул. Садовая - Кудринская, д. 2/62, стр. 4	041909786	2016-05-16	30	3	1	4525094000	PSAC	2816/19	RU	30101810245250000094	CRSA	17	044525000	ACAC			
042202837	Филиал Банка ВТБ (ПАО) в г. Нижнем Новгороде	22	603950	г	Нижний Новгород	ул Решетниковская, 4 ГСП 78	044525187	1998-11-06	30	3	1	2202837000	PSAC	1000/24	RU	30101810200000000837	CRSA	69	042202001	ACAC	VTB BANK (PJSC), NIZHNIY NOVGOROD	VTBRRUM2NIN	1
045354860	АКБ "ФОРШТАДТ" (АО)	53	460058	г	Оренбург	ул Чкалова, 35/1		1998-10-02	20	5	1	5354860000	PSAC	2208	RU	30101810700000000860	CRSA	77	045354001	ACAC	FORSHTADT BANK	FORHRU33XXX	1
045354814	ПАО "НИКО-БАНК"	53	460000	г	Оренбург	ул Правды, 14		1999-02-19	20	5	1	5354814000	PSAC	702	RU	30101810400000000814	CRSA	46	045354001	ACAC			
